,u,v,distance(m),street type,speed(km/h)
88,6226313835,4458803297,19.0,2,20.0
89,6226313835,266736930,35.0,0,10.0
90,6226313838,576833372,7.0,2,20.0
91,6226313839,4818305069,13.0,2,20.0
92,6226313842,576834725,15.0,1,15.0
93,6226313842,6226313846,272.0,2,20.0
94,6226313842,576830260,147.0,1,15.0
95,6226313846,575467530,7.0,2,20.0
96,6226313846,575384839,44.0,1,15.0
97,6226313846,575518666,297.0,0,10.0
98,6226313846,6226313842,272.0,0,10.0
99,591266434,519817337,14.0,1,15.0
100,591266434,519816456,445.0,1,15.0
101,591266434,2421604152,69.0,1,15.0
102,3276407461,92141618,68.0,2,20.0
103,3276407461,3276407462,11.0,1,15.0
104,3276407462,3276407463,37.0,0,10.0
105,3276407462,3276407461,11.0,1,15.0
106,3276407462,3884089009,57.0,1,15.0
107,3276407463,3276407462,37.0,0,10.0
108,775946936,775946941,13.0,1,15.0
109,775946936,767737648,10.0,2,20.0
110,775946936,777825195,20.0,2,20.0
111,775946938,775933087,71.0,1,15.0
112,775946938,775933182,11.0,2,20.0
113,775946938,777831779,12.0,1,15.0
114,579994300,579994432,188.0,1,15.0
115,775946941,775946936,13.0,2,20.0
116,775946941,775946115,4.0,0,10.0
117,775946941,777832638,11.0,0,10.0
118,1132069602,1132069641,10.0,2,20.0
119,1132069602,1132069644,66.0,0,10.0
121,1132069603,60653717,4.0,1,15.0
122,1132069603,1132069648,3.0,2,20.0
123,1132069603,1132069607,13.0,0,10.0
124,1132069605,92130447,10.0,2,20.0
125,1132069605,4950043382,19.0,0,10.0
126,1132069607,1132069603,13.0,1,15.0
127,1132069607,1132069656,66.0,0,10.0
129,1132069611,711762037,4.0,1,15.0
130,1132069611,711761697,2.0,2,20.0
131,1132069611,1132069644,18.0,1,15.0
132,1132069612,1132069613,4.0,1,15.0
133,1132069612,1132069637,30.0,1,15.0
134,1132069613,635530384,6.0,1,15.0
135,1132069613,4950043383,7.0,1,15.0
136,1132069615,1132069649,128.0,1,15.0
137,1132069615,1132069626,26.0,1,15.0
138,1132069617,1132069605,4.0,2,20.0
139,1132069617,1132069615,125.0,0,10.0
140,579470070,579478046,35.0,1,15.0
141,579470070,55905953,32.0,2,20.0
142,579470070,294619847,670.0,0,10.0
143,1132069623,1132069653,5.0,1,15.0
144,1132069623,60653717,6.0,0,10.0
145,1132069623,506050894,30.0,1,15.0
146,1132069623,2385153640,94.0,1,15.0
147,1132069624,1668523155,8.0,1,15.0
148,1132069624,60653700,9.0,1,15.0
149,1132069624,635530497,115.0,1,15.0
150,1132069624,1132069636,74.0,0,10.0
151,1132069626,1132069615,26.0,1,15.0
152,1132069626,1132069605,102.0,0,10.0
153,1132069631,711761815,3.0,0,10.0
154,1132069631,711761743,4.0,2,20.0
155,1132069631,1132069656,18.0,2,20.0
156,1132069636,711762206,92.0,0,10.0
157,1132069636,711763999,7.0,0,10.0
158,1132069636,1132069624,74.0,1,15.0
159,1132069637,1132069658,160.0,1,15.0
160,1132069641,1132069658,4.0,2,20.0
161,1132069641,711763999,4.0,1,15.0
162,1132069641,1132069602,10.0,0,10.0
163,1132069644,1132069611,18.0,0,10.0
164,1132069644,1132069602,66.0,2,20.0
166,1132069648,1132069603,3.0,0,10.0
167,1132069648,1132069658,5.0,2,20.0
168,1132069648,709839156,85.0,2,20.0
169,1132069649,1132070463,39.0,1,15.0
170,1132069649,1132069626,153.0,0,10.0
171,1132069653,1132069623,5.0,0,10.0
172,1132069653,506050308,5.0,1,15.0
173,1132069653,571457502,94.0,2,20.0
174,1132069656,1132069631,18.0,0,10.0
175,1132069656,1132069607,66.0,1,15.0
177,1132069658,1132069648,5.0,2,20.0
178,1132069658,1132069641,4.0,1,15.0
179,1132069658,709844184,85.0,0,10.0
180,54552166,575430811,8.0,1,15.0
182,54552166,575396024,14.0,2,20.0
184,579994432,579993929,29.0,1,15.0
185,579994432,579994300,188.0,1,15.0
186,579994432,579994721,189.0,2,20.0
187,560988998,844418490,4.0,0,10.0
188,560988998,560989015,53.0,2,20.0
189,560988998,844418826,22.0,1,15.0
190,54552170,54552169,12.0,1,15.0
192,54552170,54552172,19.0,1,15.0
194,54552172,54552170,19.0,1,15.0
196,54552172,54552173,14.0,0,10.0
198,54552173,54552172,14.0,1,15.0
200,54552173,575383168,14.0,2,20.0
202,560989015,528650042,88.0,0,10.0
203,560989015,560988998,53.0,1,15.0
204,560989015,844417606,29.0,0,10.0
205,54552174,575384239,17.0,0,10.0
207,54552174,575384241,42.0,2,20.0
208,54552174,1449298227,25.0,0,10.0
209,54552176,575385211,21.0,2,20.0
211,54552176,575376690,14.0,1,15.0
213,2935358336,2935358339,5.0,1,15.0
214,2935358336,2935371905,302.0,0,10.0
216,2935358337,2935358343,4.0,2,20.0
217,2935358337,2935358344,5.0,0,10.0
218,2935358337,2935371919,278.0,1,15.0
219,54552182,575429242,14.0,1,15.0
221,54552182,575429249,15.0,1,15.0
223,2935358339,2935358336,5.0,1,15.0
224,2935358339,2935358346,5.0,1,15.0
225,2935358343,2935358346,5.0,1,15.0
226,2935358343,2935358337,4.0,0,10.0
227,2935358344,2935358337,5.0,2,20.0
228,2935358344,2935371908,253.0,0,10.0
229,2935358346,2935358339,5.0,1,15.0
230,2935358346,2935358343,5.0,1,15.0
231,2935358346,2935371923,290.0,1,15.0
232,667681693,3148693049,45.0,0,10.0
233,54552188,575390860,19.0,0,10.0
235,54552188,575388293,7.0,1,15.0
237,560989090,307349874,11.0,1,15.0
238,560989090,560989091,8.0,2,20.0
239,560989090,301537530,48.0,1,15.0
240,560989091,560989092,5.0,1,15.0
241,560989091,560989090,8.0,1,15.0
242,560989091,844407073,19.0,1,15.0
243,560989092,560989091,5.0,1,15.0
244,560989092,531390712,145.0,1,15.0
245,560989092,844418826,64.0,0,10.0
246,560989092,589805464,367.0,1,15.0
247,54552191,54552192,11.0,0,10.0
249,54552191,575390875,14.0,1,15.0
251,54552192,575391660,7.0,1,15.0
253,54552192,54552191,11.0,1,15.0
255,54552193,266262714,25.0,0,10.0
257,54552193,575391661,26.0,1,15.0
259,710018065,634775683,6.0,1,15.0
260,710018065,710018068,7.0,1,15.0
261,710018065,634777966,103.0,1,15.0
262,710018068,710018065,7.0,2,20.0
263,710018068,634775754,48.0,1,15.0
264,710018068,4969353892,73.0,1,15.0
265,589431853,589431885,61.0,2,20.0
267,589431853,1327098219,3.0,1,15.0
268,589431853,2776396941,99.0,0,10.0
269,560989237,2347007247,8.0,1,15.0
270,560989237,844489668,3.0,1,15.0
271,560989237,528650475,31.0,1,15.0
272,589431885,589431853,61.0,2,20.0
274,589431885,1327054082,22.0,1,15.0
276,589431885,1327054079,51.0,2,20.0
278,579994721,579994432,189.0,2,20.0
279,358351976,702372978,130.0,1,15.0
280,358351976,3555788057,226.0,1,15.0
281,358351976,3777872792,300.0,0,10.0
282,575538325,576818194,4.0,0,10.0
283,575538325,575539863,9.0,1,15.0
285,575538325,746924824,9.0,0,10.0
286,282854566,282854567,39.0,1,15.0
288,282854566,282854783,60.0,1,15.0
290,282854567,282854568,46.0,1,15.0
292,282854567,282854566,39.0,1,15.0
294,282854568,282854569,75.0,1,15.0
296,282854568,282854567,46.0,1,15.0
298,282854569,282854570,99.0,2,20.0
300,282854569,282854568,75.0,2,20.0
302,282854570,282854571,67.0,2,20.0
304,282854570,282854569,99.0,1,15.0
306,282854571,282854572,72.0,1,15.0
308,282854571,282854570,67.0,1,15.0
310,282854572,5668043860,26.0,1,15.0
312,282854572,282854571,72.0,2,20.0
314,282854573,282854576,81.0,0,10.0
316,282854573,5668043860,35.0,1,15.0
318,282854576,282854595,117.0,1,15.0
320,282854576,282854573,81.0,1,15.0
322,579994804,579994807,184.0,1,15.0
323,579994804,579993932,32.0,0,10.0
324,579994804,579994871,185.0,1,15.0
325,579994807,579994804,184.0,0,10.0
326,1224869047,1224869086,49.0,1,15.0
329,1224869047,253027678,301.0,1,15.0
330,1224869048,1224869101,5.0,2,20.0
331,1224869048,1224856493,3.0,1,15.0
332,1224869048,635530028,163.0,1,15.0
333,1224869051,1224869069,51.0,2,20.0
334,1224869051,1224856497,8.0,2,20.0
335,1224869051,1224869056,8.0,1,15.0
336,1224869049,1224869101,7.0,1,15.0
337,1224869049,122749830,13.0,0,10.0
338,1224869049,1224869065,15.0,2,20.0
339,1224869055,1224854777,5.0,1,15.0
340,1224869055,635529738,19.0,0,10.0
341,1224869056,1224856493,5.0,1,15.0
342,1224869056,1224869051,8.0,0,10.0
343,1224869056,277125043,158.0,1,15.0
344,1224869058,1224854777,63.0,1,15.0
345,1224869058,1224856497,9.0,1,15.0
346,1224869058,1224869091,6.0,1,15.0
347,1224869059,1224869063,11.0,1,15.0
350,282854595,282854597,26.0,1,15.0
352,282854595,282854576,117.0,1,15.0
354,1224869063,1224869059,11.0,1,15.0
355,1224869063,1224869068,4.0,1,15.0
356,1224869063,1224869095,4.0,1,15.0
357,282854597,5668043852,28.0,0,10.0
359,282854597,282854595,26.0,1,15.0
361,1224869065,122749830,7.0,0,10.0
362,1224869065,1224869095,15.0,2,20.0
363,1224869065,1224869049,15.0,2,20.0
364,1224869065,122752286,57.0,0,10.0
365,282854603,282854607,44.0,0,10.0
367,282854603,5668043851,25.0,0,10.0
369,1224869069,1224869051,51.0,1,15.0
370,1224869069,635529738,7.0,0,10.0
371,1224869069,1224869075,59.0,2,20.0
372,1224869068,635529683,5.0,1,15.0
373,1224869068,1224869063,4.0,1,15.0
374,1224869068,635493548,117.0,1,15.0
375,282854607,5668043850,37.0,1,15.0
377,282854607,282854603,44.0,2,20.0
379,1224869075,1224869069,59.0,2,20.0
380,1224869075,1224854742,80.0,2,20.0
381,1224869075,1224854729,189.0,2,20.0
382,250479829,610682590,240.0,0,10.0
383,250479829,1982440009,55.0,1,15.0
384,250479829,1657117886,239.0,0,10.0
385,282854608,282854610,107.0,1,15.0
387,282854608,5668043850,40.0,1,15.0
389,282854610,282854611,66.0,0,10.0
391,282854610,282854608,107.0,2,20.0
393,282854611,5668043846,22.0,1,15.0
395,282854611,282854610,66.0,1,15.0
397,250479836,2236727840,2.0,0,10.0
398,250479836,2013560660,56.0,2,20.0
399,250479836,250480609,13.0,1,15.0
400,1224869086,1224869089,23.0,1,15.0
401,1224869086,1224869047,49.0,1,15.0
404,282854624,282854625,37.0,0,10.0
406,282854624,282854613,77.0,1,15.0
408,1224869089,1224869100,38.0,0,10.0
411,1224869089,1224869086,23.0,0,10.0
412,282854625,282854627,21.0,1,15.0
414,282854625,282854624,37.0,0,10.0
416,1224869091,1224854753,30.0,0,10.0
417,1224869091,1224869058,6.0,1,15.0
418,1224869091,1224869102,6.0,0,10.0
419,282854627,282854637,96.0,1,15.0
421,282854627,282854625,21.0,1,15.0
423,1224869095,1224869063,4.0,1,15.0
424,1224869095,1224869065,15.0,0,10.0
425,1224869095,122752442,57.0,2,20.0
426,250479850,1463620600,116.0,2,20.0
427,250479850,1463620531,4.0,1,15.0
428,250479850,250479864,96.0,0,10.0
429,1224869100,1224869089,38.0,2,20.0
432,1224869100,506050894,239.0,1,15.0
433,1224869101,1224869049,7.0,2,20.0
434,1224869101,1224869048,5.0,2,20.0
435,1224869101,277125478,13.0,2,20.0
436,1224869102,1224869091,6.0,1,15.0
437,1224869102,635529683,7.0,1,15.0
438,1224869102,122749676,14.0,0,10.0
439,250479854,4360100214,12.0,1,15.0
440,250479854,1982439988,9.0,1,15.0
441,3281126640,3281126656,18.0,1,15.0
442,3281126640,3281126649,21.0,2,20.0
444,3281126640,4973179165,9.0,2,20.0
445,282854637,282854638,123.0,0,10.0
447,282854637,282854627,96.0,2,20.0
449,3281126642,3281126649,18.0,1,15.0
450,3281126642,3281126656,20.0,0,10.0
452,3281126642,4462665105,22.0,0,10.0
453,282854638,282854639,76.0,1,15.0
455,282854638,282854637,123.0,1,15.0
457,250479861,309347101,43.0,1,15.0
458,250479861,1982447702,8.0,0,10.0
459,579994871,579994804,185.0,1,15.0
460,5856691446,2960006640,1.0,1,15.0
461,5856691446,1964021906,16.0,1,15.0
462,5856691446,5856691447,18.0,1,15.0
463,5856691447,5856691446,18.0,2,20.0
464,3281126649,3281126640,21.0,0,10.0
466,3281126649,3281126642,18.0,0,10.0
467,3281126649,4973179167,26.0,1,15.0
468,250479864,1463620982,5.0,0,10.0
469,250479864,1463620715,20.0,0,10.0
470,3281126656,3281126642,20.0,0,10.0
472,3281126656,3281126640,18.0,1,15.0
473,3281126656,4462665107,22.0,0,10.0
474,579994885,579994943,29.0,2,20.0
475,579994885,579994959,233.0,2,20.0
476,579994885,579993932,31.0,2,20.0
477,634782982,634783034,18.0,1,15.0
478,634782982,634783036,101.0,1,15.0
480,250479882,4294210508,232.0,2,20.0
481,250479882,356085165,59.0,2,20.0
482,250479882,1463620992,5.0,2,20.0
483,777782541,777783101,13.0,1,15.0
484,777782541,3218293548,26.0,1,15.0
485,777782541,777782984,23.0,1,15.0
486,250479885,3431070188,69.0,2,20.0
487,250479885,1463620621,5.0,1,15.0
488,250479885,250479882,103.0,1,15.0
489,2577925392,55931058,101.0,2,20.0
490,2577925392,579515304,155.0,2,20.0
491,250479896,3431070188,66.0,1,15.0
492,250479896,1463547093,112.0,1,15.0
493,250479896,1463547084,61.0,0,10.0
494,250479899,349920107,8.0,2,20.0
495,250479903,443274289,4.0,0,10.0
496,634783016,634783340,78.0,1,15.0
497,634783016,634780107,5.0,2,20.0
499,634783016,634780119,11.0,1,15.0
500,634783034,634782982,18.0,2,20.0
501,634783034,634783035,101.0,1,15.0
502,634783034,634783037,102.0,1,15.0
503,634783035,634783037,17.0,2,20.0
504,634783035,634783036,17.0,0,10.0
505,634783035,634783034,101.0,1,15.0
506,634783036,634783035,17.0,1,15.0
507,634783036,634782982,101.0,1,15.0
509,634783037,634783035,17.0,1,15.0
510,634783037,634783038,16.0,1,15.0
511,634783037,634783034,102.0,1,15.0
512,634783038,634783041,28.0,1,15.0
513,634783038,634783037,16.0,1,15.0
514,579994943,579994944,27.0,0,10.0
515,579994943,579994885,29.0,1,15.0
516,579994943,579995038,190.0,1,15.0
517,579994944,579994943,27.0,1,15.0
518,579994944,579994975,178.0,0,10.0
519,579994944,579995171,177.0,1,15.0
520,634783041,634783053,5.0,1,15.0
521,634783041,634783067,23.0,2,20.0
522,634783053,634783069,2.0,1,15.0
523,634783053,634783041,5.0,1,15.0
524,634783053,634783038,29.0,2,20.0
525,579994959,579994885,233.0,1,15.0
526,634783067,634783041,23.0,1,15.0
527,634783069,634780142,32.0,0,10.0
529,634783069,310728547,37.0,1,15.0
531,634783069,634783053,2.0,1,15.0
532,579994975,579994944,178.0,1,15.0
533,282854772,282852909,9.0,1,15.0
535,282854772,299027987,14.0,2,20.0
537,282854778,282854783,45.0,1,15.0
539,282854778,282852908,42.0,1,15.0
540,282854778,282858513,52.0,1,15.0
541,282854783,282854566,60.0,2,20.0
543,282854783,282854778,45.0,0,10.0
545,250480014,30947984,90.0,1,15.0
546,250480014,250480593,29.0,1,15.0
547,250480014,5167159978,31.0,0,10.0
548,579995038,579994943,190.0,1,15.0
549,560989599,560989610,4.0,0,10.0
550,560989599,310957465,13.0,1,15.0
551,560989600,844461604,5.0,1,15.0
552,560989600,560989599,5.0,0,10.0
553,2170946978,2170946982,9.0,1,15.0
554,2170946980,2029614911,20.0,2,20.0
555,2170946980,2213981040,32.0,1,15.0
556,2170946980,2170946982,20.0,0,10.0
557,2170946982,2170946978,9.0,0,10.0
558,2170946982,2170946980,20.0,1,15.0
559,2170946982,2170946981,10.0,2,20.0
560,2170946981,2170946982,10.0,0,10.0
561,560989608,301544549,4.0,1,15.0
562,560989608,844489469,3.0,1,15.0
563,560989608,844489301,45.0,1,15.0
564,560989610,560989611,4.0,1,15.0
565,560989610,844462403,6.0,1,15.0
566,560989611,844462098,5.0,2,20.0
567,560989611,560989600,4.0,1,15.0
568,591398356,591398359,24.0,1,15.0
569,591398359,591408190,113.0,2,20.0
570,591398359,4520380452,6.0,0,10.0
571,591398359,591408000,43.0,1,15.0
572,2789606893,2213981051,43.0,1,15.0
573,2789606893,2789606894,35.0,0,10.0
574,2789606894,2789606893,35.0,0,10.0
575,2789606895,2789606893,9.0,0,10.0
576,2789606895,2789606898,31.0,1,15.0
577,2789606898,2789606895,31.0,2,20.0
578,363988495,5864704367,67.0,0,10.0
579,363988495,384579128,9.0,1,15.0
580,363988495,3518544268,128.0,0,10.0
581,363988495,5864704368,62.0,0,10.0
582,579995171,579994944,177.0,1,15.0
583,1132070452,26680084,63.0,2,20.0
584,1132070463,1132069649,39.0,1,15.0
585,3143370318,122751902,45.0,0,10.0
586,3143370319,6024429123,33.0,2,20.0
587,3143370319,122751902,64.0,1,15.0
588,3143370319,307349873,117.0,0,10.0
589,634783340,634783016,78.0,1,15.0
590,634783340,634783346,12.0,2,20.0
592,634783340,634783347,12.0,2,20.0
593,634783346,634783340,12.0,1,15.0
595,634783346,634780265,20.0,2,20.0
596,634783346,634783347,13.0,2,20.0
597,634783347,634780144,41.0,2,20.0
598,634783347,634783346,13.0,0,10.0
599,634783347,634783340,12.0,2,20.0
600,608962168,608962176,60.0,1,15.0
602,608962168,561538826,72.0,1,15.0
603,1879180926,1879180932,13.0,2,20.0
604,608962176,608962184,47.0,2,20.0
605,608962176,608962168,60.0,0,10.0
607,608962176,2621587173,104.0,2,20.0
608,1879180932,1879180926,13.0,1,15.0
609,1879180932,2383218751,21.0,2,20.0
610,1879180932,2383218750,19.0,0,10.0
611,1879180936,1888086809,47.0,1,15.0
612,1879180936,363385943,26.0,1,15.0
613,1879180936,3155747268,19.0,1,15.0
614,608962184,541122905,9.0,0,10.0
615,608962184,2567155992,154.0,1,15.0
616,608962184,31477180,150.0,1,15.0
617,608962184,608962176,47.0,0,10.0
618,576860418,643991276,9.0,0,10.0
619,576860418,259159152,7.0,2,20.0
620,576860418,576860085,9.0,2,20.0
621,578058793,578120893,13.0,1,15.0
623,578058793,578120871,47.0,1,15.0
625,777782973,777783101,21.0,1,15.0
626,777782973,777782984,14.0,1,15.0
627,777782973,3218293554,27.0,1,15.0
628,777782984,777782973,14.0,1,15.0
629,777782984,1833123397,87.0,1,15.0
630,266733258,30944137,16.0,0,10.0
631,266733258,266733534,149.0,2,20.0
632,634783440,634780144,43.0,0,10.0
633,634783440,441031530,45.0,1,15.0
634,634783440,634783441,15.0,1,15.0
635,634783441,634779528,47.0,1,15.0
636,634783441,441031812,42.0,1,15.0
637,634783441,634783440,15.0,1,15.0
638,2187986713,3191033052,15.0,1,15.0
639,2187986713,6167418089,3.0,1,15.0
640,2187986713,6167418088,3.0,2,20.0
641,1224869661,301545280,211.0,2,20.0
642,1224869661,709966972,18.0,2,20.0
643,1224869661,710004546,211.0,1,15.0
644,1224869661,709972143,134.0,1,15.0
645,2187986724,2187983877,40.0,2,20.0
646,1224869676,634774941,14.0,0,10.0
647,1224869676,1224869677,186.0,2,20.0
648,1224869676,634780142,16.0,1,15.0
649,1224869677,41675612,17.0,1,15.0
650,1224869677,310728546,115.0,1,15.0
651,1224869677,1224869676,186.0,0,10.0
652,634783548,441031274,14.0,1,15.0
653,777783101,777783111,20.0,2,20.0
654,777783101,777782541,13.0,2,20.0
655,777783111,777783475,18.0,1,15.0
656,777783111,777783233,59.0,1,15.0
657,777783111,777783157,13.0,2,20.0
658,634783563,634783564,5.0,1,15.0
660,634783563,634783915,10.0,1,15.0
662,634783564,634783565,12.0,1,15.0
664,634783564,634783563,5.0,1,15.0
666,634783565,634783566,6.0,1,15.0
668,634783565,634783564,12.0,2,20.0
670,634783566,634783917,6.0,0,10.0
672,634783566,634783565,6.0,1,15.0
674,634783568,310728586,5.0,0,10.0
676,634783568,634783923,5.0,1,15.0
678,634783569,634783570,7.0,1,15.0
680,634783569,310728586,17.0,1,15.0
682,1224869714,1224869715,46.0,1,15.0
685,1224869714,709966960,35.0,1,15.0
686,1224869715,1224869714,46.0,2,20.0
689,1224869715,709966972,35.0,1,15.0
690,634783572,634783574,3.0,1,15.0
692,634783572,634783571,3.0,2,20.0
694,634783571,634783572,3.0,1,15.0
696,634783571,634783570,44.0,1,15.0
698,634783574,634783575,10.0,2,20.0
700,634783574,634783572,3.0,2,20.0
702,634783575,634783576,15.0,2,20.0
704,634783575,634783574,10.0,1,15.0
706,634783576,634783577,18.0,0,10.0
708,634783576,634783575,15.0,2,20.0
710,634783577,634783578,6.0,1,15.0
712,634783577,634783576,18.0,0,10.0
714,634783578,634783577,6.0,0,10.0
716,634783578,634784032,28.0,1,15.0
717,634783578,634783937,42.0,0,10.0
718,634783570,634783571,44.0,1,15.0
720,634783570,634783569,7.0,1,15.0
722,777783157,777783111,13.0,2,20.0
723,777783157,777782541,21.0,1,15.0
724,777783233,777783111,59.0,0,10.0
725,1367607235,370242273,21.0,1,15.0
726,1367607235,1367607237,12.0,1,15.0
727,1367607237,1367607240,118.0,1,15.0
728,1367607237,1367607235,12.0,2,20.0
729,1367607240,242532860,65.0,2,20.0
730,1367607240,370242314,10.0,2,20.0
731,250480593,250480014,29.0,1,15.0
732,250480593,5167159988,8.0,0,10.0
733,250480593,250480602,76.0,0,10.0
734,634783701,441031803,9.0,2,20.0
735,634783701,441031801,20.0,1,15.0
736,634783701,634783795,39.0,1,15.0
737,250480602,250480593,76.0,0,10.0
738,250480602,2481930754,39.0,1,15.0
739,250480602,443302595,86.0,1,15.0
740,202508252,3164000434,693.0,2,20.0
741,202508252,2143829872,1505.0,0,10.0
742,202508252,202495424,945.0,2,20.0
743,266733534,381825173,15.0,1,15.0
744,266733534,2189398750,75.0,1,15.0
745,250480609,4283908175,2.0,1,15.0
746,250480609,250479836,13.0,1,15.0
747,250480609,250480641,74.0,1,15.0
748,3810929387,3810929388,91.0,2,20.0
749,250480634,2312383364,118.0,1,15.0
751,250480634,2312383363,28.0,1,15.0
752,250480634,332794366,144.0,2,20.0
753,250480634,2312383359,160.0,1,15.0
754,250480641,4283908174,2.0,2,20.0
755,250480641,250480609,74.0,0,10.0
756,250480641,30947985,30.0,0,10.0
757,250480649,30947985,39.0,1,15.0
758,250480649,30947983,50.0,0,10.0
759,54396941,387153056,19.0,1,15.0
760,54396941,283334500,36.0,2,20.0
761,54396941,387153040,12.0,1,15.0
762,250480655,2236727765,2.0,1,15.0
763,250480655,705744124,79.0,0,10.0
764,250480655,30948020,22.0,0,10.0
765,777783313,777783392,36.0,1,15.0
766,777783313,777783475,13.0,1,15.0
767,777783313,777783157,18.0,0,10.0
768,54396946,54392209,100.0,1,15.0
769,54396946,387153063,13.0,1,15.0
770,250480659,2481930669,25.0,2,20.0
771,250480659,250480672,79.0,1,15.0
772,250480659,332794352,80.0,0,10.0
773,250480662,315714849,46.0,0,10.0
774,250480662,35301705,64.0,0,10.0
775,250480662,2672365503,49.0,2,20.0
776,250480666,250480669,72.0,1,15.0
777,250480666,2237521759,68.0,1,15.0
778,250480669,2236727775,2.0,1,15.0
779,250480669,30948020,57.0,1,15.0
780,250480669,250480666,72.0,2,20.0
781,250480672,250480677,72.0,2,20.0
782,250480672,250480659,79.0,0,10.0
783,54396965,2207661092,5.0,1,15.0
784,54396965,2207663849,59.0,0,10.0
785,250480677,2481930667,29.0,1,15.0
786,250480677,2672365503,27.0,1,15.0
787,250480677,250480672,72.0,1,15.0
788,54396972,387153042,10.0,0,10.0
789,54396972,54399667,36.0,1,15.0
790,4976805932,3114181811,6.0,0,10.0
792,4976805932,3114181810,6.0,1,15.0
794,634783795,310727784,17.0,2,20.0
795,634783795,310728100,44.0,1,15.0
796,634783795,634783701,39.0,0,10.0
797,54396984,3094966838,35.0,0,10.0
798,54396984,387153043,10.0,1,15.0
799,54397000,54397028,39.0,1,15.0
800,54397000,54397007,131.0,1,15.0
801,54397000,1982491305,19.0,1,15.0
802,54397007,3222703099,7.0,0,10.0
803,54397007,54397000,131.0,1,15.0
804,54397007,54397028,136.0,1,15.0
805,777783392,777783433,9.0,1,15.0
806,777783392,777783394,12.0,1,15.0
807,777783392,777783313,36.0,2,20.0
808,777783394,777783392,12.0,0,10.0
809,54397028,54397000,39.0,1,15.0
810,54397028,54397007,136.0,0,10.0
811,54397028,3222703090,16.0,1,15.0
812,634783845,3158860635,12.0,2,20.0
813,634783845,633912993,110.0,1,15.0
814,634783845,123087006,36.0,2,20.0
815,591399036,2173290777,8.0,2,20.0
816,591399036,591408004,87.0,0,10.0
817,777783433,777783392,9.0,1,15.0
